Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,1,240,33,82,.402,19,47,.404,11,15,.733,9,36,45,24,9,5,20,21,96
MIN,0,240,40,92,.435,9,38,.237,12,20,.600,11,36,47,15,13,2,13,19,101
