Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
PHO,240,.624,.590,.326,.326,30.0,86.1,56.6,68.8,2.0,14.0,10.5,100.0,127.6,135.7
SAC,240,.655,.601,.438,.360,13.9,70.0,43.4,61.7,6.0,5.0,3.7,100.0,135.7,127.6
