Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,0,240,45,89,.506,16,40,.400,19,22,.864,11,39,50,24,7,7,10,19,125
DEN,1,240,41,94,.436,15,36,.417,15,16,.938,8,30,38,22,5,4,9,15,112
