Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAL,0,240,43,90,.478,10,30,.333,14,17,.824,12,33,45,26,7,5,16,28,110
DAL,1,240,40,82,.488,9,24,.375,26,36,.722,9,29,38,23,11,5,12,15,115
