Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
OKC,240,.575,.535,.384,.326,40.4,86.5,64.6,48.7,2.1,13.6,15.5,100.0,117.7,107.3
TOR,240,.521,.478,.511,.222,13.5,59.6,35.4,60.0,13.5,13.2,6.6,100.0,107.3,117.7
