Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,40:34,12,22,.545,4,8,.500,3,3,1.000,0,4,4,5,2,0,3,2,31,+10
Will Barton,35:58,1,7,.143,0,2,.000,0,0,,1,4,5,4,1,1,0,3,2,+2
Gary Harris,35:38,2,10,.200,0,3,.000,3,4,.750,0,1,1,2,1,0,1,3,7,+10
Nikola Jokić,29:31,7,13,.538,3,5,.600,0,0,,3,6,9,11,1,0,1,5,17,+1
Paul Millsap,18:40,5,9,.556,1,3,.333,4,5,.800,1,4,5,1,1,0,1,4,15,0
Monte Morris,30:15,4,10,.400,2,4,.500,0,0,,0,3,3,2,0,0,1,2,10,-6
PJ Dozier,23:29,2,7,.286,0,2,.000,2,2,1.000,1,3,4,1,0,0,1,0,6,-15
JaMychal Green,11:54,3,3,1.000,2,2,1.000,0,0,,0,4,4,2,1,0,3,4,8,-11
Isaiah Hartenstein,8:31,3,5,.600,0,0,,1,2,.500,2,1,3,0,0,0,0,1,7,+1
Facundo Campazzo,3:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
R.J. Hampton,1:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
