Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHI,0,240,46,91,.505,10,26,.385,13,14,.929,9,32,41,26,10,3,12,23,115
LAL,1,240,41,81,.506,12,29,.414,23,27,.852,10,32,42,21,3,8,15,15,117
