Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,240,.416,.301,.542,.494,21.1,70.3,40.4,43.5,6.4,9.4,18.5,100.0,77.0,122.0
MEM,240,.625,.585,.319,.298,29.7,78.9,59.6,54.0,14.7,7.9,14.5,100.0,122.0,77.0
