Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAS,0,240,36,85,.424,4,21,.190,23,31,.742,10,22,32,20,8,10,9,13,99
PHI,1,240,56,98,.571,15,29,.517,7,11,.636,13,41,54,35,7,7,11,27,134
