Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ORL,1,240,33,95,.347,7,28,.250,19,21,.905,10,38,48,17,2,5,11,15,92
PHI,0,240,44,91,.484,15,33,.455,13,15,.867,7,47,54,23,7,10,14,23,116
