Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,0,240,46,88,.523,17,40,.425,11,17,.647,2,34,36,25,8,1,17,20,120
CHI,1,240,43,92,.467,20,45,.444,19,21,.905,10,37,47,23,10,3,17,19,125
