Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,1,240,47,92,.511,16,30,.533,21,24,.875,12,30,42,23,6,8,10,28,131
WAS,0,240,38,79,.481,9,23,.391,28,35,.800,7,31,38,25,5,5,16,23,113
