Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,1,240,54,90,.600,15,33,.455,17,21,.810,6,35,41,36,12,8,10,20,140
OKC,0,240,35,89,.393,15,38,.395,18,23,.783,11,27,38,19,6,3,16,17,103
