Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,1,240,32,83,.386,8,29,.276,17,23,.739,13,30,43,19,6,4,16,23,89
PHI,0,240,41,88,.466,11,31,.355,16,22,.727,12,35,47,20,9,6,12,19,109
