Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
HOU,240,.418,.404,.495,.172,18.8,80.9,45.0,48.6,6.9,11.4,9.4,100.0,88.0,110.7
UTA,240,.577,.550,.511,.178,19.1,81.3,55.0,65.9,6.9,8.0,11.0,100.0,110.7,88.0
