Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,0,240,37,83,.446,10,31,.323,19,24,.792,10,28,38,19,2,4,7,20,103
NOP,1,240,42,81,.519,9,26,.346,19,29,.655,8,34,42,20,2,5,6,18,112
