Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MIN,265,.556,.510,.365,.202,26.5,80.0,48.8,59.6,9.8,5.9,13.1,100.0,111.8,118.0
CHI,265,.665,.645,.269,.172,20.0,73.5,51.2,50.9,9.8,7.6,17.3,100.0,118.0,111.8
