Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NOP,0,240,44,91,.484,13,36,.361,12,19,.632,14,44,58,23,9,4,13,16,113
OKC,1,240,30,80,.375,15,48,.313,5,15,.333,7,33,40,24,6,3,19,20,80
