Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jrue Holiday,38:23,10,16,.625,1,4,.250,4,4,1.000,2,4,6,3,2,1,3,3,25,-5
Khris Middleton,37:33,10,20,.500,3,8,.375,4,4,1.000,2,12,14,8,0,0,2,2,27,+7
Giannis Antetokounmpo,36:24,13,26,.500,3,8,.375,6,8,.750,2,11,13,2,0,2,7,5,35,-1
Brook Lopez,29:05,3,4,.750,1,2,.500,0,0,,2,1,3,0,0,2,0,3,7,+22
Donte DiVincenzo,27:13,6,11,.545,3,4,.750,0,0,,2,3,5,3,2,0,1,3,15,+4
Pat Connaughton,23:08,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,1,1,6,-14
Bobby Portis,16:22,1,3,.333,0,0,,1,2,.500,1,3,4,1,0,0,1,0,3,-16
Bryn Forbes,13:31,1,5,.200,1,4,.250,0,0,,0,1,1,0,0,0,0,1,3,+4
D.J. Wilson,12:53,0,2,.000,0,2,.000,0,0,,0,5,5,1,0,1,1,2,0,-6
Sam Merrill,5:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
