Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,1,240,36,96,.375,7,40,.175,15,18,.833,12,45,57,25,6,1,13,25,94
CHO,0,240,32,85,.376,11,36,.306,27,33,.818,8,41,49,22,11,7,9,14,102
