Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Joel Embiid,26:41,7,11,.636,1,2,.500,6,8,.750,0,9,9,2,0,2,0,2,21,+23
Tobias Harris,26:34,8,15,.533,3,4,.750,1,1,1.000,3,6,9,3,0,1,1,2,20,+30
Seth Curry,24:45,7,12,.583,5,7,.714,2,2,1.000,0,1,1,3,1,0,1,1,21,+24
Ben Simmons,24:36,3,7,.429,1,1,1.000,2,2,1.000,2,8,10,8,2,0,2,3,9,+25
Danny Green,18:17,1,4,.250,1,4,.250,0,0,,0,0,0,0,0,1,1,3,3,+14
Shake Milton,24:35,6,15,.400,1,4,.250,1,1,1.000,0,4,4,6,1,2,1,1,14,+20
Tyrese Maxey,21:00,5,9,.556,0,0,,0,0,,0,2,2,0,1,0,1,2,10,-1
Matisse Thybulle,17:54,3,5,.600,2,4,.500,1,1,1.000,0,4,4,0,1,2,2,1,9,+8
Mike Scott,17:27,0,2,.000,0,2,.000,0,0,,0,4,4,0,0,0,0,1,0,-3
Dwight Howard,14:23,3,4,.750,1,1,1.000,0,0,,1,4,5,1,1,1,3,4,7,+11
Vincent Poirier,6:56,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,1,0,2,-10
Isaiah Joe,6:56,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,2,0,-10
Dakota Mathias,5:57,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Terrance Ferguson,3:59,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-3
