Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,0,265,41,94,.436,13,30,.433,36,43,.837,11,36,47,29,4,6,13,22,131
TOR,1,265,47,105,.448,14,38,.368,21,27,.778,18,32,50,23,9,5,12,30,129
