Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,0,240,45,86,.523,12,34,.353,23,27,.852,7,40,47,29,5,4,6,24,125
SAS,1,240,35,83,.422,5,26,.192,26,32,.813,8,30,38,22,4,3,10,22,101
