Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,38:37,12,22,.545,6,11,.545,4,4,1.000,1,3,4,4,0,0,3,1,34,0
Rudy Gobert,33:59,6,8,.750,0,0,,1,2,.500,5,11,16,0,1,1,4,2,13,-4
Joe Ingles,33:56,4,8,.500,4,7,.571,3,4,.750,0,3,3,9,0,0,4,3,15,-4
Royce O'Neale,32:44,3,5,.600,3,5,.600,0,0,,1,9,10,0,1,0,1,3,9,+6
Georges Niang,23:30,1,7,.143,1,5,.200,0,0,,0,1,1,0,0,0,2,2,3,+4
Jordan Clarkson,33:06,6,18,.333,1,6,.167,2,3,.667,0,3,3,3,1,0,3,1,15,-3
Trent Forrest,15:24,2,4,.500,1,3,.333,2,2,1.000,0,2,2,3,0,1,2,1,7,+8
Derrick Favors,14:01,2,2,1.000,0,0,,0,0,,1,6,7,1,0,0,0,1,4,+8
Ersan İlyasova,9:23,1,4,.250,1,4,.250,0,0,,1,1,2,0,0,1,1,1,3,+4
Matt Thomas,5:20,0,0,,0,0,,3,3,1.000,0,1,1,0,0,0,0,0,3,+1
