Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,1,240,41,86,.477,16,35,.457,17,18,.944,6,42,48,24,14,6,16,15,115
SAC,0,240,39,86,.453,13,28,.464,5,12,.417,4,35,39,25,11,4,18,15,96
