Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
POR,0,240,41,87,.471,14,41,.341,10,10,1.000,7,40,47,21,0,7,9,19,106
DEN,1,240,40,94,.426,14,36,.389,17,18,.944,10,30,40,25,8,3,1,10,111
