Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gordon Hayward,37:51,9,18,.500,4,7,.571,4,4,1.000,2,5,7,3,2,0,4,4,26,+6
Devonte' Graham,36:50,5,13,.385,2,8,.250,5,5,1.000,2,4,6,8,0,0,1,3,17,+11
Terry Rozier,34:45,5,15,.333,4,10,.400,1,2,.500,1,3,4,5,3,1,1,1,15,+13
P.J. Washington,27:35,3,8,.375,1,4,.250,2,4,.500,2,2,4,5,2,2,1,3,9,-10
Bismack Biyombo,27:00,4,5,.800,0,0,,3,4,.750,1,5,6,0,0,1,1,2,11,+3
Miles Bridges,30:28,8,11,.727,4,6,.667,0,0,,2,2,4,1,0,0,2,2,20,+14
LaMelo Ball,25:34,4,11,.364,1,5,.200,3,4,.750,4,6,10,9,1,0,3,3,12,+5
Caleb Martin,11:22,2,4,.500,0,1,.000,0,0,,2,1,3,0,1,0,0,1,4,-1
Cody Martin,8:35,1,2,.500,0,1,.000,2,2,1.000,0,1,1,2,1,0,1,1,4,-1
