"","Player","Pos","Age","Tm"
"139","Tyler Cook","SF-PF",23,"TOT"
"140","Tyler Cook","PF",23,"BRK"
"141","Tyler Cook","SF",23,"DET"
"142","DeMarcus Cousins","C",30,"TOT"
"143","DeMarcus Cousins","C",30,"HOU"
"144","DeMarcus Cousins","C",30,"LAC"
"145","Robert Covington","PF",30,"POR"
"146","Torrey Craig","SF",30,"TOT"
"147","Torrey Craig","SF",30,"MIL"
"148","Torrey Craig","SF",30,"PHO"
"149","Jae Crowder","PF",30,"PHO"
"150","Jarrett Culver","SG",21,"MIN"
"151","Seth Curry","SG",30,"PHI"
"152","Stephen Curry","PG",32,"GSW"
"153","Nate Darling","SG",22,"CHO"
"154","Anthony Davis","PF",27,"LAL"
"155","Ed Davis","C",31,"MIN"
"156","Terence Davis","SG",23,"TOT"
"157","Terence Davis","SG",23,"TOR"
"158","Terence Davis","SG",23,"SAC"
"159","Gabriel Deck","PF",25,"OKC"
"160","Dewayne Dedmon","C",31,"MIA"
"161","Matthew Dellavedova","PG",30,"CLE"
"162","DeMar DeRozan","PF",31,"SAS"
"163","Mamadi Diakite","PF",24,"MIL"
"164","Hamidou Diallo","SG-SF",22,"TOT"
"165","Hamidou Diallo","SG",22,"OKC"
"166","Hamidou Diallo","SF",22,"DET"
"167","Gorgui Dieng","C",31,"TOT"
"168","Gorgui Dieng","C",31,"MEM"
"169","Gorgui Dieng","C",31,"SAS"
"170","Spencer Dinwiddie","SG",27,"BRK"
"171","Donte DiVincenzo","SG",24,"MIL"
"172","Luka Dončić","PG",21,"DAL"
"173","Luguentz Dort","SG",21,"OKC"
"174","Damyean Dotson","SG",26,"CLE"
"175","Devon Dotson","PG",21,"CHI"
"176","Sekou Doumbouya","PF",20,"DET"
"177","PJ Dozier","SG",24,"DEN"
"178","Goran Dragić","PG",34,"MIA"
"179","Andre Drummond","C",27,"TOT"
"180","Andre Drummond","C",27,"CLE"
"181","Andre Drummond","C",27,"LAL"
"182","Jared Dudley","PF",35,"LAL"
"183","Kris Dunn","PG",26,"ATL"
"184","Kevin Durant","PF",32,"BRK"
"185","Anthony Edwards","SG",19,"MIN"
"186","Carsen Edwards","SG",22,"BOS"
"187","CJ Elleby","SF",20,"POR"
"188","Henry Ellenson","PF",24,"TOR"
"189","Wayne Ellington","SG",33,"DET"
"190","Joel Embiid","C",26,"PHI"
"191","James Ennis","SF",30,"ORL"
"192","Drew Eubanks","C",23,"SAS"
"193","Dante Exum","SG",25,"CLE"
"194","Tacko Fall","C",25,"BOS"
"195","Derrick Favors","C",29,"UTA"
"196","Cristiano Felício","C",28,"CHI"
"197","Terrance Ferguson","SG",22,"PHI"
"198","Bruno Fernando","C",22,"ATL"
"199","Yogi Ferrell","PG",27,"TOT"
"200","Yogi Ferrell","PG",27,"CLE"
"201","Yogi Ferrell","PG",27,"LAC"
"202","Dorian Finney-Smith","PF",27,"DAL"
"203","Malik Fitts","PF",23,"LAC"
"204","Malachi Flynn","PG",22,"TOR"
"205","Bryn Forbes","SG",27,"MIL"
"206","Trent Forrest","PG",22,"UTA"
"207","Evan Fournier","SF-SG",28,"TOT"
"208","Evan Fournier","SF",28,"ORL"
"209","Evan Fournier","SG",28,"BOS"
"210","De'Aaron Fox","PG",23,"SAC"
"211","Robert Franks","PF",24,"ORL"
"212","Tim Frazier","PG",30,"MEM"
"213","Markelle Fultz","PG",22,"ORL"
"214","Wenyen Gabriel","PF",23,"NOP"
"215","Daniel Gafford","PF-C",22,"TOT"
"216","Daniel Gafford","PF",22,"CHI"
"217","Daniel Gafford","C",22,"WAS"
"218","Danilo Gallinari","PF",32,"ATL"
"219","Langston Galloway","SG",29,"PHO"
"220","Darius Garland","PG",21,"CLE"
"221","Marc Gasol","C",36,"LAL"
"222","Rudy Gay","PF",34,"SAS"
"223","Paul George","SF",30,"LAC"
"224","Taj Gibson","PF",35,"NYK"
"225","Harry Giles","C",22,"POR"
"226","Shai Gilgeous-Alexander","SG",22,"OKC"
"227","Anthony Gill","PF",28,"WAS"
"228","Freddie Gillespie","PF",23,"TOR"
"229","Rudy Gobert","C",28,"UTA"
