"","Player","Pos","Age","Tm"
"616","Tyrell Terry","PG",20,"DAL"
"617","Daniel Theis","C",28,"TOT"
"618","Daniel Theis","C",28,"BOS"
"619","Daniel Theis","C",28,"CHI"
"620","Brodric Thomas","SG",24,"TOT"
"621","Brodric Thomas","SG",24,"HOU"
"622","Brodric Thomas","SG",24,"CLE"
"623","Isaiah Thomas","PG",31,"NOP"
"624","Khyri Thomas","SG",24,"HOU"
"625","Matt Thomas","SG",26,"TOT"
"626","Matt Thomas","SG",26,"TOR"
"627","Matt Thomas","SG",26,"UTA"
"628","Tristan Thompson","PF",29,"BOS"
"629","Sindarius Thornwell","SG",26,"TOT"
"630","Sindarius Thornwell","SG",26,"NOP"
"631","Sindarius Thornwell","SG",26,"ORL"
"632","Matisse Thybulle","SG",23,"PHI"
"633","Killian Tillie","C",22,"MEM"
"634","Xavier Tillman Sr.","PF",22,"MEM"
"635","Anthony Tolliver","PF",35,"PHI"
"636","Obi Toppin","PF",22,"NYK"
"637","Juan Toscano-Anderson","SG",27,"GSW"
"638","Axel Toupane","SF",28,"MIL"
"639","Karl-Anthony Towns","C",25,"MIN"
"640","Gary Trent Jr.","SG",22,"TOT"
"641","Gary Trent Jr.","SG",22,"POR"
"642","Gary Trent Jr.","SG",22,"TOR"
"643","P.J. Tucker","PF",35,"TOT"
"644","P.J. Tucker","PF",35,"HOU"
"645","P.J. Tucker","PF",35,"MIL"
"646","Rayjon Tucker","PG",23,"PHI"
"647","Myles Turner","C",24,"IND"
"648","Jonas Valančiūnas","C",28,"MEM"
"649","Denzel Valentine","SG",27,"CHI"
"650","Jarred Vanderbilt","PF",21,"MIN"
"651","Fred VanVleet","SG",26,"TOR"
"652","Anderson Varejão","C",38,"CLE"
"653","Devin Vassell","SF",20,"SAS"
"654","Gabe Vincent","PG",24,"MIA"
"655","Noah Vonleh","PF",25,"BRK"
"656","Nikola Vučević","C",30,"TOT"
"657","Nikola Vučević","C",30,"ORL"
"658","Nikola Vučević","C",30,"CHI"
"659","Dean Wade","PF",24,"CLE"
"660","Moritz Wagner","C",23,"TOT"
"661","Moritz Wagner","C",23,"WAS"
"662","Moritz Wagner","C",23,"BOS"
"663","Moritz Wagner","C",23,"ORL"
"664","Kemba Walker","PG",30,"BOS"
"665","Lonnie Walker","SG",22,"SAS"
"666","John Wall","PG",30,"HOU"
"667","Brad Wanamaker","PG",31,"TOT"
"668","Brad Wanamaker","PG",31,"GSW"
"669","Brad Wanamaker","PG",31,"CHO"
"670","T.J. Warren","SF",27,"IND"
"671","P.J. Washington","PF",22,"CHO"
"672","Yuta Watanabe","SF",26,"TOR"
"673","Tremont Waters","PG",23,"BOS"
"674","Paul Watson","SF",26,"TOR"
"675","Quinndary Weatherspoon","SG",24,"SAS"
"676","Russell Westbrook","PG",32,"WAS"
"677","Coby White","PG",20,"CHI"
"678","Derrick White","SG",26,"SAS"
"679","Hassan Whiteside","C",31,"SAC"
"680","Greg Whittington","PF",27,"DEN"
"681","Andrew Wiggins","PF",25,"GSW"
"682","Grant Williams","PF",22,"BOS"
"683","Kenrich Williams","PF",26,"OKC"
"684","Lou Williams","PG",34,"TOT"
"685","Lou Williams","PG",34,"LAC"
"686","Lou Williams","PG",34,"ATL"
"687","Patrick Williams","PF",19,"CHI"
"688","Robert Williams","C",23,"BOS"
"689","Zion Williamson","PF",20,"NOP"
"690","D.J. Wilson","PF",24,"TOT"
"691","D.J. Wilson","PF",24,"MIL"
"692","D.J. Wilson","PF",24,"HOU"
"693","Dylan Windler","SF",24,"CLE"
"694","Justise Winslow","SF",24,"MEM"
"695","Cassius Winston","PG",22,"WAS"
"696","James Wiseman","C",19,"GSW"
"697","Christian Wood","C",25,"HOU"
"698","Robert Woodard","SF",21,"SAC"
"699","Delon Wright","SG-PG",28,"TOT"
"700","Delon Wright","SG",28,"DET"
"701","Delon Wright","PG",28,"SAC"
"702","Thaddeus Young","PF",32,"CHI"
"703","Trae Young","PG",22,"ATL"
"704","Cody Zeller","C",28,"CHO"
"705","Ivica Zubac","C",23,"LAC"
