Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHI,0,240,40,75,.533,11,28,.393,15,21,.714,7,37,44,23,11,6,16,13,106
CHI,1,240,36,87,.414,11,34,.324,11,14,.786,12,28,40,25,7,2,15,15,94
