Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,35:45,12,18,.667,6,11,.545,1,1,1.000,0,6,6,0,0,1,2,1,31,+8
Zach LaVine,34:56,9,12,.750,6,8,.750,2,2,1.000,0,7,7,4,2,0,6,1,26,+6
Coby White,33:56,6,11,.545,3,6,.500,5,5,1.000,0,3,3,6,0,0,1,2,20,-17
Patrick Williams,24:18,4,7,.571,1,3,.333,2,2,1.000,0,1,1,1,1,0,1,0,11,-12
Daniel Gafford,10:06,2,4,.500,0,0,,0,0,,2,3,5,1,0,0,0,1,4,-15
Thaddeus Young,28:57,3,10,.300,0,0,,2,2,1.000,7,4,11,11,1,0,1,4,8,+13
Garrett Temple,24:51,3,9,.333,3,7,.429,0,0,,0,1,1,0,0,1,1,1,9,+18
Otto Porter,24:09,2,9,.222,1,6,.167,2,2,1.000,2,1,3,3,0,0,1,2,7,-12
Tomáš Satoranský,13:18,2,3,.667,1,2,.500,1,1,1.000,0,3,3,3,0,0,2,0,6,+3
Denzel Valentine,4:56,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,+4
Cristiano Felício,4:48,0,0,,0,0,,0,0,,0,3,3,1,1,0,0,1,0,-1
