Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
MEM,240,.552,.526,.327,.143,24.0,89.5,52.3,64.4,13.6,12.0,10.3,100.0,111.4,106.5
BRK,240,.609,.556,.383,.259,10.5,76.0,47.7,68.4,5.8,6.1,18.1,100.0,106.5,111.4
