Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIA,1,240,32,67,.478,12,29,.414,24,27,.889,5,26,31,25,1,5,22,21,100
DET,0,240,46,91,.505,18,46,.391,10,15,.667,10,29,39,34,9,8,11,28,120
