Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
NYK,240,.558,.518,.381,.274,13.6,83.3,47.7,63.2,2.0,7.8,12.1,100.0,106.2,129.5
PHO,240,.621,.565,.446,.272,16.7,86.4,52.3,60.5,5.1,5.8,4.6,100.0,129.5,106.2
