Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHO,1,265,34,85,.400,13,43,.302,16,23,.696,16,36,52,16,8,3,20,23,97
PHO,0,265,34,96,.354,8,40,.200,25,29,.862,21,29,50,17,15,2,14,17,101
