Team,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAC,240,.556,.518,.410,.289,21.7,78.4,47.0,58.3,9.1,6.3,6.0,100.0,117.8,124.6
DEN,240,.616,.563,.400,.263,21.6,78.3,53.0,66.7,2.3,8.2,10.1,100.0,124.6,117.8
