Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,0,240,34,71,.479,13,36,.361,13,15,.867,11,36,47,26,5,2,23,18,94
MIA,1,240,28,75,.373,9,33,.273,15,22,.682,5,21,26,15,16,4,7,13,80
