Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NOP,1,240,47,90,.522,10,29,.345,24,26,.923,11,42,53,28,9,3,13,24,128
LAL,0,240,36,85,.424,18,37,.486,21,30,.700,6,28,34,25,10,4,13,17,111
