Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,1,290,51,102,.500,15,39,.385,22,26,.846,13,45,58,30,6,6,24,19,139
MEM,0,290,51,107,.477,17,40,.425,18,24,.750,10,37,47,33,15,3,14,24,137
