Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,0,240,57,87,.655,21,33,.636,17,22,.773,3,50,53,41,7,11,17,22,152
OKC,1,240,38,111,.342,8,38,.211,11,23,.478,21,27,48,23,8,4,14,15,95
