Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
WAS,1,240,42,93,.452,12,41,.293,19,23,.826,12,34,46,26,7,3,14,20,115
TOR,0,240,49,93,.527,19,32,.594,20,23,.870,9,37,46,28,5,5,12,17,137
