Team,Home Team ?,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UTA,1,240,49,88,.557,18,41,.439,10,14,.714,7,46,53,24,5,2,14,20,126
SAS,0,240,37,92,.402,7,23,.304,13,20,.650,9,26,35,22,7,5,7,13,94
